School_ID,Student_ID,Year_level,Numeracy_score,Gender,First_Nations,Language_background,School_SES,Treatment
1100067,1,3,464.28,0,0,0,1159,0
1100067,1,4,542.71179,0,0,0,1159,0
1100067,1,5,531.12567,0,0,0,1159,0
1100067,1,6,554.91162,0,0,0,1159,0
1100044,2,3,258.06,1,0,1,1064,1
1100044,2,4,387.23615,1,0,1,1064,1
1100044,2,5,428.09,1,0,1,1064,1
1100044,2,6,542.31488,1,0,1,1064,1
1100044,3,3,352.45999,0,0,1,1064,1
1100044,3,4,456.67685,0,0,1,1064,1
1100044,3,5,533.60254,0,0,1,1064,1
1100044,3,6,617.30359,0,0,1,1064,1
1100045,4,3,449.06,1,0,0,1124,0
1100045,4,4,509.65091,1,0,0,1124,0
1100045,4,5,605.80182,1,0,0,1124,0
1100045,4,6,654.78632,1,0,0,1124,0
1100100,5,3,349.22,0,0,0,1163,0
1100100,5,4,402.93692,0,0,0,1163,0
1100100,5,5,450.25754,0,0,0,1163,0
1100100,5,6,520.01129,0,0,0,1163,0
1100024,6,3,322.64001,1,0,0,986,1
1100024,6,4,361.96182,1,0,0,986,1
1100024,6,5,476.01648,1,0,0,986,1
1100024,6,6,518.44037,1,0,0,986,1
1100026,7,3,484.94,0,0,0,1059,1
1100026,7,4,514.50153,0,0,0,1059,1
1100026,7,5,540.28992,0,0,0,1059,1
1100026,7,6,526.53485,0,0,0,1059,1
1100067,8,3,519.58002,1,0,1,1159,0
1100067,8,4,688.99683,1,0,1,1159,0
1100067,8,5,665.98853,1,0,1,1159,0
1100067,8,6,765.82813,1,0,1,1159,0
1100059,9,3,395.76001,1,0,1,1147,0
1100059,9,4,510.41681,1,0,1,1147,0
1100059,9,5,571.6217,1,0,1,1147,0
1100059,9,6,639.04431,1,0,1,1147,0
1100120,10,3,416.51999,0,0,0,1174,0
1100120,10,4,567.7309,0,0,0,1174,0
1100120,10,5,602.70581,0,0,0,1174,0
1100120,10,6,637.14441,0,0,0,1174,0
1100127,11,3,455.10001,0,0,1,100,0
1100127,11,4,594.91998,0,0,1,100,0
1100127,11,5,588.46411,0,0,1,100,0
1100127,11,6,654.35254,0,0,1,100,0
1100047,12,3,422.84,1,0,0,1003,0
1100047,12,4,482.07889,1,0,0,1003,0
1100047,12,5,531.62103,1,0,0,1003,0
1100047,12,6,523.33496,1,0,0,1003,0
1100085,13,3,478.14001,1,0,0,1030,0
1100085,13,4,570.79449,1,0,0,1030,0
1100085,13,5,623.38721,1,0,0,1030,0
1100085,13,6,670.71545,1,0,0,1030,0
1100110,14,3,379.51999,1,0,0,1161,0
1100110,14,4,493.69485,1,0,0,1161,0
1100110,14,5,519.85614,1,0,0,1161,0
1100110,14,6,545.9389,1,0,0,1161,0
1100081,15,3,471.44,1,0,0,999,0
1100081,15,4,470.97345,1,0,0,999,0
1100081,15,5,532.24023,1,0,0,999,0
1100081,15,6,589.08521,1,0,0,999,0
1100041,16,3,330.67999,1,0,1,1093,1
1100041,16,4,369.87601,1,0,1,1093,1
1100041,16,5,438.12112,1,0,1,1093,1
1100041,16,6,496.0871,1,0,1,1093,1
1100029,17,3,509.06,0,0,0,1055,0
1100029,17,4,533.01056,0,0,0,1055,0
1100029,17,5,563.2005,0,0,0,1055,0
1100029,17,6,620.33765,0,0,0,1055,0
1100066,18,3,329.92001,0,0,0,1094,1
1100066,18,4,408.68109,0,0,0,1094,1
1100066,18,5,495.08798,0,0,0,1094,1
1100066,18,6,555.25061,0,0,0,1094,1
1100029,19,3,437.79999,0,0,1,1055,0
1100029,19,4,547.69012,0,0,1,1055,0
1100029,19,5,572.48859,0,0,1,1055,0
1100029,19,6,597.35815,0,0,1,1055,0
1100036,20,3,357.12,1,0,0,1008,0
1100036,20,4,447.99677,1,0,0,1008,0
1100036,20,5,481.58932,1,0,0,1008,0
1100036,20,6,481.60126,1,0,0,1008,0
1100047,21,3,431.84,0,0,1,1003,0
1100047,21,4,502.63025,0,0,1,1003,0
1100047,21,5,646.05017,0,0,1,1003,0
